verified_reviews,feedback
"[""like"",""siri"",""fact"",""siri"",""answer"",""accur"",""alexa"",""t"",""see"",""real"",""need"",""household"",""though"",""good"",""bargain"",""prime"",""day"",""deal""]",0
"[""sound"",""terribl"",""u"",""want"",""good"",""music"",""get"",""bose""]",0
"[""much"",""featur""]",0
"[""stop"",""work"",""2"",""week"",""t"",""follow"",""command"",""realli"",""fun"",""work""]",0
"[""sad"",""joke"",""worthless""]",0
"[""realli"",""disappoint"",""alexa"",""plug"",""wall"",""socket"",""time"",""fault"",""check"",""made"",""assumpt"",""compani"",""technolog"",""advanc"",""amazon"",""sell"",""product"",""recharg"",""batteri"",""return"",""appl"",""music"",""boom"",""speaker"",""give"",""flexibl"",""alexa""]",0
"[""got"",""great"",""sound"",""bass"",""t"",""work"",""time"",""still"",""hot"",""miss"",""recogn"",""thing""]",0
"[""super"",""impress"",""alexa"",""prime"",""laps"",""t"",""play"",""anyth"",""t"",""smart"",""enough"",""differenti"",""among"",""spotifi"",""account"",""t"",""use"",""either"",""random"",""speak"",""nobodi"",""talk"",""just"",""today"",""unplug"",""sure"",""ll"",""ever"",""use"",""alexa""]",0
"[""difficult"",""set"",""keep"",""time"",""enter"",""password""]",0
"[""alexa"",""hard"",""came""]",0
"[""item"",""longer"",""work"",""just"",""5"",""month"",""use"",""will"",""connect"",""wifi"",""unrespons"",""reset"",""request""]",0
"[""thing"",""bare"",""work"",""select"",""3rd"",""parti"",""app"",""stuff"",""think"",""box"",""send"",""mine"",""back"",""asap"",""wast"",""money""]",0
"[""return"",""2"",""echo"",""dot"",""get"",""refund"",""1"",""return"",""2"",""one"",""packag"",""want"",""refund"",""packag"",""see""]",0
"[""work""]",0
"[""echo"",""fan"",""one"",""work""]",0
"[""t"",""alway"",""respond"",""spoken"",""promp"",""word"",""thought"",""connect"",""echo"",""upstair"",""use"",""like"",""intercom"",""t"",""abl""]",0
"[""work"",""month"",""stop"",""tri"",""everyth"",""tri"",""make"",""work"",""noth"",""work"",""want"",""refund""]",0
"[""poor"",""qualiti"",""gave"",""away""]",0
"[""never"",""get"",""work"",""techi"",""friend"",""look"",""said"",""adapt"",""t"",""strong"",""enough"",""power"",""look"",""like"",""bought"",""dollar"",""store"",""go"",""replac"",""adapt"",""hope"",""work""]",0
"[""initi"",""echo"",""dot"",""work"",""veri"",""well"",""time"",""dot"",""stop"",""respond"",""alexa"",""unless"",""within"",""one"",""foot"",""yell"",""echo"",""echo"",""dot"",""room"",""respond"",""without"",""respons"",""echo"",""dot"",""recommend"",""buy"",""refurbish""]",0
"[""bought"",""echo"",""dot"",""refurbish"",""stop"",""whatev"",""function"",""perform"",""quit"",""often"",""t"",""wake"",""everi"",""time"",""random"",""turn"",""noth"",""buy"",""refurbish"",""echo"",""dot""]",0
"[""dont"",""trust""]",0
"[""want"",""use"",""radio"",""intercom"",""get"",""terribl"",""fm"",""recept"",""live"",""speech"",""recognit"",""softwar"",""horribl"",""wife"",""nativ"",""american"",""whose"",""languag"",""english"",""north"",""texa"",""neither"",""accent"",""birth"",""area"",""yet"",""good"",""job"",""understand"",""us"",""bought"",""two"",""thing"",""addit"",""wifi"",""recept"",""poor"",""margin"",""buy"",""wifi"",""rang"",""extend"",""offic"",""ten"",""feet"",""router"",""problem"",""switch"",""around"",""differ"",""now"",""disconnect"",""dust"",""collector""]",0
"[""item"",""never"",""work"",""box"",""broken"",""spent"",""sever"",""day"",""tri"",""get"",""work"",""run"",""34"",""fix"",""34"",""amazon"",""thing"",""accomplish"",""will"",""never"",""order"",""anoth"",""refurbish"",""devic""]",0
"[""great"",""product"",""return"",""new"",""alexa"",""dot"",""refurbish"",""alreadi"",""give"",""problem"",""connect""]",0
"[""34"",""never"",""buy"",""certifi"",""refurbish"",""echo"",""dot"",""34"",""bought"",""34"",""certifi"",""refurbish"",""34"",""echo"",""dot"",""unit"",""veri"",""poor"",""receiv"",""command"",""sometim"",""even"",""acknowledg"",""command"",""never"",""buy"",""refurbish"",""echo"",""dot"",""unit"",""receiv"",""probabl"",""never"",""certifi"",""refurbish"",""indic"",""also"",""bought"",""new"",""echo"",""dot"",""work"",""perfect"",""veri"",""disappoint""]",0
"[""item"",""work"",""certifi"",""refurbish"",""mean"",""work"",""advertis"",""instead"",""item"",""crash"",""soon"",""turn"",""plug"",""tri"",""connect"",""phone"",""echo"",""dot"",""crash"",""disconnect"",""orang"",""light"",""freez"",""thing"",""reboot"",""blue"",""light"",""alexa"",""tell"",""readi"",""connect"",""freez"",""mid"",""sentenc"",""tri"",""hold"",""action"",""button"",""5"",""second"",""t"",""anyth"",""return"",""immedi"",""hope"",""actual"",""fix"",""item"",""next"",""buyer"",""purchas""]",0
"[""none""]",0
"[""work"",""time""]",0
"[""alreadi"",""return""]",0
"[""now"",""weari"",""pick"",""convers"",""activ"",""use"",""heard"",""happen"",""news"",""3"",""4"",""veri"",""concern"",""wish"",""amazon"",""releas"",""someth"",""widespread"",""push"",""firmwar"",""prevent"",""heard"",""yet""]",0
"[""someth"",""wrong"",""first"",""one"",""even"",""rep"",""spoke"",""fix"",""replac"",""regist"",""someon"",""els"",""price"",""dot"",""went"",""39"",""99"",""price"",""refurbish"",""one"",""bought"",""brand"",""spank"",""new"",""one"",""problem"",""new"",""one""]",0
"[""two"",""week"",""set"",""longer"",""work"",""connect"",""light"",""sound"",""guess"",""t"",""purchas"",""refurbish"",""dot""]",0
"[""good""]",0
"[""worst"",""amazon"",""purchas"",""made"",""big"",""amazon"",""fan"",""love"",""brand"",""unlimit"",""digit"",""music"",""prime"",""video"",""even"",""buy"",""onlin"",""game"",""music"",""movi"",""amazon"",""app"",""tri"",""use"",""make"",""simpl"",""purchas"",""anyth"",""useless""]",0
"[""echo"",""dot"",""disconnect"",""speaker"",""12"",""20"",""time"",""day"",""buy"",""refurbish"",""product"",""2"",""star"",""effort""]",0
"[""cant"",""seem"",""get"",""thing"",""sink"",""wireless"",""sure"",""will"",""return"",""will"",""tri"",""one"",""time""]",0
"[""product"",""stop"",""work"",""return"",""time"",""ran""]",0
"[""stop"",""work"",""7"",""month"",""warranti"",""good"",""3"",""month"",""assum"",""amazon"",""product"",""sold"",""amazon"",""higher"",""standard"",""guarante"",""work"",""3"",""whole"",""month"",""mean"",""product"",""suppos"",""piec"",""junk"",""offer"",""15"",""discount"",""want"",""buy"",""anoth"",""one"",""want"",""buy"",""anoth"",""one""]",0
"[""bought"",""son"",""t"",""work"",""return""]",0
"[""bought"",""2"",""quit"",""connect"",""wifi"",""respond"",""voic"",""within"",""9"",""month"",""hard"",""soft"",""reset"",""will"",""fix"",""problem""]",0
"[""second"",""one"",""refurbish"",""model"",""work"",""least"",""home""]",0
"[""veri"",""bad"",""devic"",""t"",""know"",""refurbish"",""activ"",""nobodi"",""talk"",""just"",""activ"",""start"",""talk"",""talk"",""yell"",""super"",""laud""]",0
"[""far"",""impress"",""save"",""group"",""correct"",""understand"",""time"",""sure"",""excit"",""alexa"",""voic"",""sound"",""like"",""water"",""suppos"",""understand"",""go"",""return"",""tri"",""googl"",""home""]",0
"[""great"",""product"",""useless"",""overal"",""mani"",""unnecessari"",""featur"",""unless"",""smart"",""home"",""t"",""need""]",0
"[""cant"",""figur"",""use""]",0
"[""t"",""alway"",""work""]",0
"[""new"",""amazon"",""product"",""great"",""everyth"",""bought"",""refurbish"",""complet"",""garbag"",""will"",""never"",""purchas"",""amazon"",""refurbish"",""total"",""dissatisfact""]",0
"[""extrem"",""low"",""volum""]",0
"[""brought"",""replac"",""one"",""move"",""t"",""rang"",""previous"",""non"",""refurbish"",""unit"",""seldom"",""abl"",""find"",""wi"",""fi"",""t"",""connect"",""got"",""tire"",""hear"",""messag"",""34"",""troubl"",""connect"",""check"",""alexa"",""app"",""34"",""just"",""unplug"",""went"",""troubleshoot"",""reconnect"",""sever"",""time"",""just"",""strong""]",0
"[""want"",""listen"",""music"",""come"",""sever"",""echo"",""dot"",""unit"",""simultan"",""must"",""pay"",""month"",""fee"",""thought"",""amazon"",""appl"",""paid"",""mani"",""one"",""room"",""enough"",""money""]",0
"[""eh"",""work"",""half"",""time"",""respond"",""say"",""wake"",""name"",""work"",""fine""]",0
"[""want"",""white"",""dot"",""white"",""bathroom"",""top"",""black"",""shown"",""knew"",""realiz"",""cord"",""plug"",""also"",""black"",""want"",""white"",""cord"",""plug""]",0
"[""set"",""echo"",""dot"",""work"",""hour"",""die"",""complet"",""buy"",""refurbish"",""sent"",""back"",""return"",""day"",""receiv""]",0
"[""echo"",""dot"",""horribl"",""volum"",""phone"",""louder"",""devic"",""boss"",""one"",""case""]",0
"[""ok"",""speaker"",""pretti"",""terribl"",""googl"",""home"",""better"",""product""]",0
"[""first"",""one"",""quit"",""work"",""short"",""got"",""next"",""one"",""becom"",""unrespons"",""voic"",""time"",""way"",""get"",""work"",""app"",""sure"",""just"",""dot"",""way""]",0
"[""devic"",""work"",""follow"",""instruct"",""alexa"",""echo"",""dot"",""come"",""veri"",""upset""]",0
"[""sent"",""back"",""due"",""crackl"",""nois"",""turn"",""expect"",""refurbish"",""item""]",0
"[""like"",""siri"",""fact"",""siri"",""answer"",""accur"",""alexa"",""t"",""see"",""real"",""need"",""household"",""though"",""good"",""bargain"",""prime"",""day"",""deal""]",0
"[""sound"",""terribl"",""u"",""want"",""good"",""music"",""get"",""bose""]",0
"[""much"",""featur""]",0
"[""stop"",""work"",""2"",""week"",""t"",""follow"",""command"",""realli"",""fun"",""work""]",0
"[""sad"",""joke"",""worthless""]",0
"[""realli"",""disappoint"",""alexa"",""plug"",""wall"",""socket"",""time"",""fault"",""check"",""made"",""assumpt"",""compani"",""technolog"",""advanc"",""amazon"",""sell"",""product"",""recharg"",""batteri"",""return"",""appl"",""music"",""boom"",""speaker"",""give"",""flexibl"",""alexa""]",0
"[""got"",""great"",""sound"",""bass"",""t"",""work"",""time"",""still"",""hot"",""miss"",""recogn"",""thing""]",0
"[""super"",""impress"",""alexa"",""prime"",""laps"",""t"",""play"",""anyth"",""t"",""smart"",""enough"",""differenti"",""among"",""spotifi"",""account"",""t"",""use"",""either"",""random"",""speak"",""nobodi"",""talk"",""just"",""today"",""unplug"",""sure"",""ll"",""ever"",""use"",""alexa""]",0
"[""difficult"",""set"",""keep"",""time"",""enter"",""password""]",0
"[""alexa"",""hard"",""came""]",0
"[""honest"",""like"",""time"",""t"",""bought"",""smaller"",""one"",""exact"",""thing"",""less"",""half"",""bought"",""video"",""chat"",""never"",""realli"",""use""]",0
"[""veri"",""slow"",""compar"",""echo""]",0
"[""alexa"",""devic"",""work"",""just"",""well"",""product"",""unfortun"",""t"",""go"",""abil"",""play"",""video"",""veri"",""limit"",""play"",""youtub"",""play"",""video"",""crop"",""screen"",""make"",""look"",""veri"",""strang"",""quit"",""select"",""clock"",""face"",""control"",""display"",""one"",""glare"",""veri"",""annoy"",""except"",""t"",""turn"",""34"",""thing"",""tri"",""34"",""screen"",""turn"",""screen"",""scroll"",""defeat"",""purpos"",""screen"",""t"",""need"",""remind"",""everi"",""5"",""second"",""thing"",""alexa"",""t"",""need"",""advertis"",""especi"",""cost"",""devic"",""overal"",""expens"",""alexa"",""devic"",""screen"",""veri"",""use"",""annoy"",""recommend"",""amazon"",""peopl"",""get"",""act"",""togeth"",""come"",""screen"",""actual"",""use""]",0
"[""returnef"",""item"",""speak"",""spanish""]",0
"[""first"",""receiv"",""product"",""great"",""howev"",""week"",""ago"",""devic"",""serv"",""video"",""advertis"",""around"",""10"",""30pm"",""night"",""scare"",""famili"",""want"",""make"",""sure"",""protect"",""t"",""allow"",""video"",""direct"",""home"",""spot"",""devic"",""keep"",""safe""]",0
"[""coupl"",""day"",""alexa"",""answer"",""disconnect"",""will"",""see"",""better"",""reconnect""]",0
"[""want"",""use"",""clock"",""bedroom"",""font"",""small"",""see"",""distanc"",""appar"",""t"",""chang""]",0
"[""meh""]",0
"[""product"",""current"",""two"",""relat"",""softwar"",""flaw"",""make"",""complet"",""unus"",""1"",""34"",""card"",""34"",""homescreen"",""call"",""34"",""thing"",""tri"",""34"",""ad"",""alexa"",""servic"",""tri"",""turn"",""homescreen"",""card"",""one"",""2"",""default"",""homescreen"",""card"",""34"",""cycl"",""34"",""automat"",""incred"",""annoy"",""set"",""opt"",""card"",""34"",""cycl"",""34"",""instead"",""34"",""cycl"",""continu"",""34"",""critic"",""set"",""work"",""unit"",""set"",""34"",""cycl"",""34"",""card"",""still"",""continu"",""cycl"",""time"",""reboot"",""devic"",""re"",""set"",""etc"",""etc"",""two"",""obvious"",""softwar"",""issu"",""fix"",""opinion"",""product"",""useless""]",0
"[""need"",""harvard"",""law"",""degre"",""oper"",""thing"",""go"",""back"",""veri"",""soon""]",0
"[""product"",""turn"",""random"",""sometim"",""night""]",0
"[""love"",""way"",""stop"",""screen"",""constant"",""scroll"",""thing"",""tri"",""amazon"",""make"",""set"",""chang"",""review"",""5"",""star""]",0
"[""t"",""figur"",""make"",""receiv"",""call"",""devic"",""tell"",""need"",""regist"",""know""]",0
"[""great"",""product"",""give"",""5"",""star"",""t"",""scroll"",""face"",""card"",""without"",""stupid"",""34"",""tri"",""ask"",""alexa"",""34"",""suggest"",""pop"",""yes"",""scroll"",""just"",""stay"",""clock"",""like"",""card"",""well"",""god"",""worst"",""irrit"",""got"",""super"",""cheap"",""just"",""face"",""screen"",""toward"",""wall"",""treat"",""like"",""dot"",""instead"",""spot"",""dumb"",""move"",""amazon"",""part""]",0
"[""product"",""complet"",""wast"",""money"",""ask"",""alexa"",""question"",""either"",""t"",""know"",""answer"",""give"",""wrong"",""answer"",""find"",""inform"",""wikipedia""]",0
"[""honest"",""differ"",""echo"",""dot"",""alreadi"",""occasion"",""see"",""lyric"",""song"",""listen"",""realli"",""t"",""see"",""differ""]",0
"[""switch"",""googl"",""amazon"",""helper"",""shop"",""googl"",""task"",""assist""]",0
"[""alexa"",""smart"",""siri"",""cancel"",""snooz"",""alarm"",""goe"",""cancel"",""pre"",""set"",""alarm"",""weekday""]",0
"[""great"",""product"",""except"",""possibl"",""way"",""act"",""clock"",""display"",""time"",""perman"",""clock"",""mode"",""screen"",""rotat"",""clock"",""face"",""thing"",""tri"",""screen"",""intend"",""buy"",""sever"",""unit"",""hous"",""need"",""screen"",""hous"",""perman"",""tri"",""upset"",""act"",""clock"",""basic"",""featur"",""echo"",""spot"",""get"",""wrong"",""amazon"",""fail""]",0
"[""want"",""use"",""bedsid"",""clock"",""abil"",""play"",""music"",""podcast"",""sad"",""continu"",""scroll"",""34"",""thing"",""tri"",""34"",""t"",""stay"",""clock"",""face"",""amazon"",""get"",""one"",""back""]",0
"[""happi"",""spot"",""reset"",""numer"",""time"",""seem"",""slow"",""mode"",""practic"",""top"",""hear"",""even"",""talk"",""support"",""still"",""theme"",""menu"",""choos""]",0
"[""fine"",""spot"",""exact"",""one"",""massiv"",""fail"",""order"",""turn"",""repeat"",""alarm"",""morn"",""pretti"",""much"",""talk"",""thing"",""usual"",""want"",""first"",""woken"",""bed"",""partner"",""will"",""definit"",""like"",""yes"",""manual"",""swipe"",""alarm"",""face"",""dismiss"",""swipe"",""rather"",""touch"",""screen"",""half"",""asleep"",""veri"",""difficult"",""result"",""set"",""snooz"",""half"",""time"",""even"",""realli"",""tri"",""swipe"",""dismiss"",""ii"",""manag"",""swipe"",""dismiss"",""complet"",""delet"",""recur"",""alarm"",""especi"",""annoy"",""amazon"",""easili"",""fix"",""simpli"",""make"",""touch"",""screen"",""turn"",""alarm"",""delet"",""least"",""make"",""set"",""decid"",""whether"",""touch"",""screen"",""recur"",""alarm"",""snooz"",""turn"",""clock"",""year"",""now"",""still"",""t"",""ad"",""set"",""clear"",""go"",""happen"",""may"",""biggest"",""product"",""design"",""screw"",""amazon"",""ever"",""made""]",0
"[""item"",""return"",""repair"",""receivd"",""item"",""back"",""repair"",""07"",""23"",""18"",""part"",""miss"",""power"",""cord"",""includ"",""pleas"",""advis""]",0
"[""awesom"",""echo"",""echo"",""dot"",""spot"",""disappoint"",""veri"",""littl"",""control"",""screen"",""show"",""clock"",""look"",""like"",""order"",""thing"",""show"",""etc"",""point"",""t"",""thrown"",""box"",""away"",""immedi"",""sent"",""back"",""just"",""got"",""anoth"",""full"",""size"",""echo""]",0
"[""product"",""forc"",""user"",""review"",""alexa"",""thing"",""tri"",""way"",""disabl""]",0
"[""t"",""use"",""babi"",""monitor"",""purchas"",""t"",""realiz"",""read"",""review"",""alexa"",""skill"",""sync"",""nest"",""cam"",""consid"",""poor"",""review"",""fact"",""simpl"",""fix"",""surpris"",""amazon"",""t"",""upgrad"",""softwar"",""allow"",""39"",""minut"",""view"",""alert"",""like"",""get"",""nest"",""app""]",0
"[""3"",""amazon"",""ignor"",""custom"",""use"",""devic"",""market"",""tool"",""custom"",""screen"",""content"",""turn"",""advertis"",""thing"",""tri"",""peopl"",""will"",""suggest"",""turn"",""content"",""chang"",""accept"",""option"",""moreov"",""increas"",""size"",""slight"",""improv"",""audio"",""speaker"",""give"",""5"",""star"",""devic"",""right"",""now"",""debat"",""whether"",""return"",""3"",""devic"",""wife"",""say""]",0
"[""disconnect"",""often""]",0
"[""get"",""rid"",""34"",""thong"",""tri"",""34"",""screen"",""numb"",""nut""]",0
"[""echo"",""work"",""fine"",""get"",""indund"",""34"",""thing"",""tri"",""34"",""10"",""year"",""old"",""need"",""stimulus"",""tell"",""thing"",""found"",""way"",""turn"",""except"",""turn"",""screen"",""find"",""suitabl"",""fix"",""goe"",""back""]",0
"[""t"",""turn"",""34"",""thing"",""tri"",""34"",""screen"",""scroll"",""big"",""promot"",""devic"",""amazon"",""pack"",""send"",""back"",""realli"",""want"",""get"",""head"",""enough"",""alreadi""]",0
"[""thing"",""woke"",""middl"",""night"",""say"",""readi"",""setup"",""alreadi"",""setup"",""simpl"",""thing"",""check"",""time"",""ask"",""wife"",""happi""]",0
"[""product"",""attract"",""somewhat"",""use"",""amazon"",""chose"",""forc"",""user"",""view"",""thing"",""tri"",""trend"",""great"",""depreci"",""valu"",""product"",""buy"",""unless"",""will"",""view"",""billboard"",""amazon""]",0
"[""good"",""siri"",""still"",""posit"",""great"",""play"",""music"",""set"",""alarm"",""person"",""felt"",""paid"",""much"",""product"",""near"",""half"",""prime"",""day"",""liter"",""day"",""purchas"",""pretti"",""disappoint"",""might"",""still"",""return"",""get"",""money"",""back""]",0
"[""fair"",""useless""]",0
"[""bought"",""spot"",""love"",""within"",""month"",""start"",""act"",""funni"",""stop"",""work"",""call"",""determin"",""overh"",""told"",""unplug"",""technic"",""support"",""call"",""within"",""24"",""48"",""hour"",""wait"",""48"",""hour"",""without"",""respons"",""repli"",""email"",""ask"",""wait"",""week"",""week"",""goe"",""absolut"",""respons"",""inlin"",""chat"",""per"",""instruct"",""told"",""wait"",""longer"",""realli"",""unaccept"",""expect"",""amazon"",""find"",""funni"",""alway"",""thank"",""prime"",""member"",""issu"",""aris"",""even"",""get"",""assist""]",0
"[""size"",""screen"",""thing"",""25""]",0
"[""invas"",""scare"",""crap"",""speak"",""spoken"",""creapi"",""af""]",0
"[""love"",""product"",""veri"",""disappoint"",""realiz"",""longer"",""play"",""youtub"",""video"",""now"",""past"",""30"",""day"",""return"",""date"",""realiz"",""now"",""expens"",""alarm"",""clock"",""hope"",""youtub"",""come"",""back"",""look"",""buy"",""echo"",""show"",""kitchen"",""prime"",""day"",""glad"",""t""]",0
"[""wast"",""money"",""echo"",""generat"",""2"",""t"",""realli"",""get"",""anyth"",""video"",""chat"",""devic"",""facetim"",""skype"",""cycl"",""pictur"",""put"",""slideshow"",""mode"",""stick"",""first"",""photo"",""will"",""leav"",""matter"",""even"",""look"",""onlin"",""research"",""articl"",""find"",""solut"",""also"",""problem"",""devic"",""shut"",""problem"",""echo"",""devic"",""price"",""differ"",""just"",""worth""]",0
"[""tube"",""t"",""bought"",""known""]",0
"[""t"",""wast"",""money"",""echo"",""gen"",""1"",""echo"",""gen"",""2"",""dot"",""far"",""better"",""job"",""voic"",""recognit"",""echo"",""show"",""fact"",""bad"",""virtual"",""useless"",""also"",""speaker"",""incred"",""bass"",""heavi"",""much"",""hard"",""understand"",""voic"",""work"",""adjust"",""bass"",""punch"",""mid"",""trebl"",""still"",""sound"",""aw"",""final"",""screen"",""just"",""t"",""add"",""much"",""t"",""see"",""across"",""room"",""rare"",""activ"",""meaning"",""way"",""t"",""distract"",""help"",""use"",""facetim"",""much"",""practicalthan"",""use"",""show"",""surpris"",""amazon"",""t"",""make"",""littl"",""use"",""perhap"",""futur"",""now"",""wast"",""time"",""money""]",0
"[""thought"",""power"",""lot"",""function"",""much"",""better"",""echo"",""dot"",""worth"",""money""]",0
"[""understand"",""excit"",""alexa"",""devic"",""googl"",""one"",""either"",""rare"",""get"",""say"",""correct"",""control"",""dish"",""receiv"",""yes"",""set"",""correct"",""use"",""alexa"",""app"",""phone"",""got"",""129"",""good"",""deal"",""ti"",""defin"",""worth"",""229"",""price"",""though"",""mayb"",""anoth"",""month"",""will"",""get"",""better"",""either"",""one"",""just"",""deaf"",""dumb"",""realli"",""recommend"",""item"",""current"",""time""]",0
"[""veri"",""disappoint"",""alexa"",""t"",""hear"",""t"",""respond"",""request""]",0
"[""4"",""show"",""now"",""broken"",""anyth"",""screen"",""lose"",""line"",""resolut"",""timer"",""remind"",""go"",""hour"",""late"",""remind"",""trigger"",""tri"",""set"",""remind"",""t"",""issu"",""dot"",""echo"",""just"",""show"",""nice"",""amazon"",""get"",""act"",""togeth"",""actual"",""fix"",""thing""]",0
"[""alexa"",""pretti"",""dumb""]",0
"[""fire"",""hd"",""much"",""price"",""pair"",""speaker""]",0
"[""veri"",""intrus"",""turn""]",0
"[""like"",""anoth"",""kid"",""hous"",""constant"",""repeat"",""tell"",""alexa"",""someth"",""clear"",""day"",""accord"",""histori"",""hear"",""someth"",""comelet"",""differ"",""devic"",""realli"",""cool"",""like"",""concept"",""get"",""two"",""star"",""howev"",""just"",""t"",""work"",""intend"",""find"",""irrit"",""often"",""use"",""devic""]",0
"[""way"",""music"",""sound"",""poor"",""qualiti""]",0
"[""echo"",""devic"",""stop"",""communic"",""proper"",""sono"",""devic"",""upon"",""connect"",""echo"",""show"",""account"",""ask"",""echo"",""devic"",""play"",""music"",""sono"",""baffl"",""system"",""previous"",""work"",""flawless"",""went"",""two"",""week"",""eventu"",""solv"",""problem"",""neither"",""amazon"",""sono"",""figur""]",0
"[""f"",""suck""]",0
"[""alway"",""want"",""one"",""till"",""got"",""one"",""crack"",""hard"",""navig"",""actual"",""like"",""dot"",""better""]",0
"[""echo"",""show"",""said"",""work"",""certain"",""app"",""cozi"",""state"",""work"",""echo"",""show"",""cozi"",""famili"",""t"",""veri"",""well"",""amazon"",""need"",""go"",""back"",""draw"",""board"",""need"",""piec"",""technolog"",""lack"",""essenti"",""pleas"",""fix"",""cost"",""echo"",""show"",""marvel"",""got"",""echo"",""show"",""take"",""shop"",""list"",""far"",""ad"",""item"",""list"",""long"",""lag"",""router"",""slow"",""provid"",""speed"",""gb"",""speed"",""problem"",""new"",""item"",""updat"",""cozi"",""veri"",""slow"",""help"",""need"",""get"",""updat"",""a1"",""work"",""condit""]",0
"[""disappoint"",""devic"",""abl"",""access"",""youtub"",""dec"",""2017"",""t"",""awar"",""purchas"",""problem"",""devic"",""voic"",""stop"",""work"",""throughout"",""day"",""see"",""tri"",""respond"",""window"",""open"",""contain"",""info"",""ask"",""like"",""devic"",""get"",""stuck"",""process"",""stop"",""work"",""blue"",""bar"",""just"",""flash"",""keep"",""unplug"",""restart"",""devic"",""start"",""work"",""irrit"",""devic"",""realli"",""great"",""devic"",""googl"",""amazon"",""act"",""like"",""grownup""]",0
"[""return"",""repair"",""repair"",""done"",""problem"",""requir"",""defect"",""part"",""show"",""sent"",""repair"",""got"",""back"",""without"",""fix"",""site"",""give"",""option"",""complain"",""page"",""echo"",""spot"",""work"",""perfect"",""posit""]",0
"[""great"",""devic"",""featur"",""awesom"",""interact"",""fantast"",""home"",""autom"",""work"",""perfect"",""link"",""account"",""correct"",""issu"",""4"",""echo"",""show"",""2"",""sent"",""repair"",""screen"",""glitch"",""less"",""3"",""month"",""old"",""alreadi"",""issu"",""first"",""repair"",""sent"",""updat"",""firmwar"",""got"",""devic"",""back"",""noth"",""work"",""updat"",""newest"",""firmwar"",""work"",""2"",""week"",""later"",""glitch"",""start"",""love"",""show"",""get"",""realli"",""frustrat"",""glitch""]",0
"[""bought"",""product"",""hope"",""alexa"",""pretti"",""well"",""develop"",""far"",""enough"",""along"",""therefor"",""expect"",""respons"",""100"",""piec"",""crap"",""doesnt"",""even"",""know"",""respond"",""question"",""amazon"",""told"",""ask"",""echo"",""button"",""manual"",""see"",""step"",""3"",""devic"",""potenti"",""given"",""big"",""screen"",""decent"",""sound"",""200"",""buck"",""never"",""reccomend"",""even"",""100"",""spent"",""feel"",""like"",""got"",""short"",""oh"",""last"",""devic"",""pretti"",""useless"",""without"",""prime"",""membership"",""link"",""person"",""account"",""thing"",""liter"",""decor"",""bluetooth"",""speaker"",""went"",""famili"",""account"",""one"",""got"",""work"",""minim"",""oh"",""even"",""prime"",""membership"",""music"",""pass"",""someth"",""extra"",""3"",""99"",""month"",""leav"",""item"",""subscript"",""nightmar"",""overpr"",""decor"",""bluetooth"",""speaker"",""eye"",""give"",""zero"",""star""]",0
